Category,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,414,414,414,414,414,406,406,422,432,432,432,461
Reserves,10351,13091,17112,20489,23958,25051,30035,41399,44957,52346,61837,95665
Borrowings ,17776,22342,22214,22370,27712,30242,35855,47935,53434,49470,51621,63399
Other Liabilities ,3541,2538,3629,3960,4228,6217,8285,8572,13740,14751,19553,25790
Total Liabilities,32082,38385,43369,47233,56311,61917,74582,98328,112563,116999,133443,185315
Fixed Assets ,20527,20883,21054,22670,28121,32715,48291,62553,72224,75148,89616,131669
CWIP,1276,1967,4514,4545,4483,3216,3697,4023,6637,10936,11706,12672
Investments,260,545,1161,1079,782,1178,2236,3161,7432,4289,4659,5449
Other Assets ,10020,14990,16641,18938,22924,24808,20358,28591,26271,26627,27461,35525
Total Assets,32082,38385,43369,47233,56311,61917,74582,98328,112563,116999,133443,185315
